DB.origen,id_intern,Latitude,Longitude,Forest_type,Leaf_N,Wood_N,Root_N,Litter_N,Leaf_NPP,Wood_NPP,Root_NPP,Litter_NPP,Nstock_leaves,Nstock_wood,Nstock_roots,Nstock_litter,MAT,MAP,Altitude,Gross_Nuptake,Reabsorved,Net_Nuptake,Stand_age,Stand_density,Soil_CEC,Soil_ph,Soil_N,Soil_CN,Myco.type,AM_percent,MAT_wc,MAP_wc,Alt_wc,Soil_CN_sg,Soil_ph_sg,woodiness,MAT_MAP_wc,AM_map,N_stocks_sg,Bact,Fung,Nlimit,mic_C,mic_N,N,BD,soil_N_combi,soil_BD_sg,N_stocks_combi,Predicted_Net_Nuptake,Net_Nuptake_Combi,MAT_combi,MAP_combi,Alt_combi,Soil_CN_combi,Soil_ph_combi,MAT_MAP_combi,Biomes$BIOME,regions,abg_to_roots,totalNPP,Leaf_NUE,Wood_NUE,Root_NUE,NUE,AM_combi,noy,nhx,ndep
Scrapping,https://helda.helsinki.fi/bitstream/handle/1975/9310/208.pdf?sequence=3&isAllowed=y,62.85,30.883,Coniferous,1.39,0.059,1.1,0.84,695,1668,1077,651,9.6605,0.98412,11.847,5.4684,NA,NA,NA,22.49162,4.1921,18.29952,NA,NA,NA,NA,NA,NA,ECM,0,2.025000095,657,165,2.481871605,45.99633789,Woody,1335.900024,0,1.006690741,3.951204062,2.869356632,0.218676329,418.8349915,108.427002,823.0899048,81.56216431,823.0899048,81.56216431,1.006994911,22.11954052,18.29952,2.025000095,657,165,2.481871605,4.599633789,1330.425063,6,Bor,0.898507639,3440,500,28271.18644,979.0909091,152.9458527,0,6.522871971,9.70091629,16.22378826
Scrapping,https://helda.helsinki.fi/bitstream/handle/1975/9310/208.pdf?sequence=3&isAllowed=y,62.85,30.883,Broadleaved,2.29,0.104,0.94,1.35,1251,1494,868,709,28.6479,1.55376,8.1592,9.5715,NA,NA,NA,38.36086,19.0764,19.28446,NA,NA,NA,NA,NA,NA,ECM,0,2.025000095,657,165,2.481871605,45.99633789,Woody,1335.900024,0,1.006690741,3.951204062,2.869356632,0.218676329,418.8349915,108.427002,823.0899048,81.56216431,823.0899048,81.56216431,1.006994911,33.47674934,19.28446,2.025000095,657,165,2.481871605,4.599633789,1330.425063,6,Bor,3.70154672,3613,546.2882096,14365.38462,923.4042553,94.18454122,0,6.522871971,9.70091629,16.22378826
Scrapping,https://helda.helsinki.fi/bitstream/handle/1975/9310/208.pdf?sequence=3&isAllowed=y,62.85,30.883,Coniferous,1.38,0.058,0.665,0.89,1112,2328,3266,383,15.3456,1.35024,21.7189,3.4087,NA,NA,NA,38.41474,11.9369,26.47784,NA,NA,NA,NA,NA,NA,ECM,0,2.025000095,657,165,2.481871605,45.99633789,Woody,1335.900024,0,1.006690741,3.951204062,2.869356632,0.218676329,418.8349915,108.427002,823.0899048,81.56216431,823.0899048,81.56216431,1.006994911,33.51530988,26.47784,2.025000095,657,165,2.481871605,4.599633789,1330.425063,6,Bor,0.768724015,6706,805.7971014,40137.93103,4911.278195,174.5684079,0,6.522871971,9.70091629,16.22378826
Scrapping,https://sci-hub.hkvisa.net/https://doi.org/10.1139/x26-148,64.7202,-148.2056,Broadleaved,1.35,0.155603141,1.447,1.220886551,2662,7005,3551,2662,35.937,10.9,51.38297,32.5,-3.5,269,NA,98.21997,3.437,94.78297,30,NA,NA,NA,NA,NA,ECM/AM,50,-2.845833302,297,120,1.76128912,60.19647217,Woody,-841.5,0,0.647272289,3.860980749,2.061827898,0.251805454,121.1610031,20.20159912,671.5596313,64.23087311,671.5596313,64.23087311,0.647022922,76.31638199,94.78297,-3.5,269,120,1.76128912,6.019647217,-941.5,6,Bor,0.911527691,13218,1971.851852,45018.37145,2454.042847,134.575484,50,1.305790901,3.309041739,4.61483264
Scrapping,https://sci-hub.hkvisa.net/https://doi.org/10.1139/x26-149,64.7202,-148.2056,Broadleaved,1.76,0.186132133,1.05,0.944233207,1578,4889,4386,1578,27.7728,9.1,46.053,14.9,-3.5,269,NA,82.9258,12.8728,70.053,90,NA,NA,NA,NA,NA,ECM/AM,50,-2.845833302,297,120,1.76128912,60.19647217,Woody,-841.5,0,0.647272289,3.860980749,2.061827898,0.251805454,121.1610031,20.20159912,671.5596313,64.23087311,671.5596313,64.23087311,0.647022922,65.37073605,70.053,-3.5,269,120,1.76128912,6.019647217,-941.5,6,Bor,0.800660109,10853,896.5909091,26266.28686,4177.142857,130.8760362,50,1.305790901,3.309041739,4.61483264
Scrapping,https://sci-hub.hkvisa.net/https://doi.org/10.1139/x26-150,64.7202,-148.2056,Coniferous,1.04,0.162481536,1.255,0.834202294,959,2708,2477,959,9.9736,4.4,31.08635,8,-3.5,269,NA,45.45995,1.9736,43.48635,250,NA,NA,NA,NA,NA,ECM,0,-2.845833302,297,120,1.76128912,60.19647217,Woody,-841.5,0,0.647272289,3.860980749,2.061827898,0.251805454,121.1610031,20.20159912,671.5596313,64.23087311,671.5596313,64.23087311,0.647022922,38.55738632,43.48635,-3.5,269,120,1.76128912,6.019647217,-941.5,6,Bor,0.462376574,6144,922.1153846,16666.50911,1973.705179,135.1519304,0,1.305790901,3.309041739,4.61483264
Scrapping,https://sci-hub.hkvisa.net/https://doi.org/10.1139/x26-151,64.7202,-148.2056,Coniferous,0.88,0.205357143,0.646,0.453752182,573,112,2324,573,5.0424,0.23,15.01304,2.6,-3.5,269,NA,20.28544,2.4424,17.84304,200,NA,NA,NA,NA,NA,ECM,0,-2.845833302,297,120,1.76128912,60.19647217,Woody,-841.5,0,0.647272289,3.860980749,2.061827898,0.251805454,121.1610031,20.20159912,671.5596313,64.23087311,671.5596313,64.23087311,0.647022922,20.54063398,17.84304,-3.5,269,120,1.76128912,6.019647217,-941.5,6,Bor,0.351188034,3009,651.1363636,545.391304,3597.52322,148.3329915,0,1.305790901,3.309041739,4.61483264
Scrapping,https://sci-hub.hkvisa.net/https://doi.org/10.1139/x26-152,64.7546,-148.2945,Broadleaved,2.1,0.160550459,2.867,0.716432866,1996,6104,2755,1996,41.916,9.8,78.98585,14.3,-3.5,269,NA,130.70185,27.616,103.08585,77.5,NA,NA,NA,NA,NA,ECM/AM,50,-2.741666794,295,238,1.90426445,51.63851166,Woody,-808.791687,0,0.418857515,3.735104799,1.802615762,0.2805067,121.3300018,20.20159912,659.9702148,42.76034927,659.9702148,42.76034927,0.423308353,99.56283197,103.08585,-3.5,269,238,1.90426445,5.163851166,-941.5,6,Bor,0.654750186,10855,950.4761905,38019.19993,960.934775,83.0516171,50,1.291117072,1.911546826,3.202663898
Scrapping,https://sci-hub.hkvisa.net/https://doi.org/10.1139/x26-153,64.7546,-148.2945,Coniferous,1.07,0.173720783,1.645,0.70226774,1367,3166,1574,1367,14.6269,5.5,25.8923,9.6,-3.5,269,NA,46.0192,5.0269,40.9923,130,NA,NA,NA,NA,NA,ECM,0,-2.741666794,295,238,1.90426445,51.63851166,Woody,-808.791687,0,0.418857515,3.735104799,1.802615762,0.2805067,121.3300018,20.20159912,659.9702148,42.76034927,659.9702148,42.76034927,0.423308353,38.95762723,40.9923,-3.5,269,238,1.90426445,5.163851166,-941.5,6,Bor,0.777331485,6107,1277.570093,18224.64731,956.8389058,132.7054795,0,1.291117072,1.911546826,3.202663898
Scrapping,"https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.17154 , https://bg.copernicus.org/articles/6/2759/2009/bg-6-2759-2009.pdf ,  https://doi.org/10.1111/j.1529-8817.2003.00757.x",-2.5,-60,Broadleaved,1.767,0.36,0.74,1.265,8600,3800,4000,8600,151.962,13.68,29.6,108.79,27.1,2273,NA,195.242,43.172,152.07,NA,NA,NA,NA,0.16,NA,AM,100,26.33749962,2386,114,1.364368081,40.5439415,Woody,62831.33594,1,0.310895592,1.986071348,0.825597167,-0.398078084,128.5410004,19.51639938,176.9104156,117.1477509,0.16,117.1477509,0.000281155,145.7525651,152.07,27.1,2273,114,1.364368081,4.05439415,61598.3,1,Trop,5.596013514,16400,4867.006225,10555.55556,5405.405405,83.99832003,100,9.630899429,10.10624886,19.73714828
